sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-06T03:30:57.106Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""ja"",""locale"":""ja"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1440,""screen_height"":900,""scroll_width"":914,""scroll_height"":714,""window_innerWidth"":914,""window_innerHeight"":762,""devicePixelRatio"":2}",,,,,,34621,form submission,,,,35859,35850,1202,1154,1229,35912,{}
イントロ2,html.Page,1,2023-01-06T03:31:12.324Z,,,,,,,15165,form submission,,,,51077,51077,35879,35861.00000000001,35912,51128,
イントロ3,html.Page,2,2023-01-06T03:31:27.830Z,,,,,,,15454.000000000015,form submission,,,,66583,66582.00000000001,51094,51078,51128,66627,
イントロ4,html.Page,3,2023-01-06T03:31:44.189Z,,,,,,,16315,form submission,,,,82942,82942,66595,66583,66627,82994,
イントロ5,html.Page,4,2023-01-06T03:31:56.275Z,,,,,,,12033,form submission,,,,95028,95027,82960,82942,82994,95092,
できるだけ早く正確に,canvas.Screen,5,2023-01-06T03:31:57.292Z,,,,,,,985,timeout,,,,96045,96044,95048,95028,95092,96077,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-06T03:31:57.792Z,,,b,,,270,501,timeout,e.jpg,,,96544,96543,96044,96045,96077,96578,
注視(1秒),canvas.Screen,6_0_1,2023-01-06T03:31:58.775Z,,,b,,,270,982,timeout,e.jpg,,,97528,97527,96543,96544,96578,97560,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-06T03:31:59.276Z,,,b,,,270,501,timeout,e.jpg,,,98028,98028,97527,97528,97560,98061,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-06T03:32:00.502Z,,,b,true,b,270,1158,response,e.jpg,b,keypress(f),99254,99186,98028,98028,98061,99310,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-06T03:32:01.025Z,,,b,,,270,501,timeout,e.jpg,,,99777,99777,99277,99256,99310,99811,
トライアル,flow.Sequence,6_0,2023-01-06T03:32:01.025Z,,,b,,,270,3700,completion,e.jpg,,,99778,99777,96044,96045,96077,99811,
空白時間1 (0.5秒),canvas.Screen,6_1_0,2023-01-06T03:32:01.526Z,,,b,,,180,500,timeout,e.jpg,,,100278,100277,99777,99778,99811,100311,
注視(1秒),canvas.Screen,6_1_1,2023-01-06T03:32:02.542Z,,,b,,,180,1016,timeout,e.jpg,,,101294,101294,100277,100278,100311,101327,
空白時間2 (0.5秒),canvas.Screen,6_1_2,2023-01-06T03:32:03.042Z,,,b,,,180,500,timeout,e.jpg,,,101794,101793,101294,101294,101327,101827,
刺激提示(練習),canvas.Screen,6_1_3,2023-01-06T03:32:03.637Z,,,b,false,b,180,584,response,e.jpg,d,keypress(j),102389,102377,101793,101794,101827,102444,
フィードバック(0.5秒),canvas.Screen,6_1_4,2023-01-06T03:32:04.158Z,,,b,,,180,500,timeout,e.jpg,,,102910,102910,102411,102391,102444,102944,
トライアル,flow.Sequence,6_1,2023-01-06T03:32:04.159Z,,,b,,,180,3099,completion,e.jpg,,,102911,102910,99777,99778,99811,102944,
空白時間1 (0.5秒),canvas.Screen,6_2_0,2023-01-06T03:32:04.659Z,,,d,,,135,499,timeout,eR.jpg,,,103411,103410,102910,102911,102944,103443,
注視(1秒),canvas.Screen,6_2_1,2023-01-06T03:32:05.675Z,,,d,,,135,1018,timeout,eR.jpg,,,104427,104427,103410,103411,103443,104461,
空白時間2 (0.5秒),canvas.Screen,6_2_2,2023-01-06T03:32:06.176Z,,,d,,,135,499,timeout,eR.jpg,,,104928,104928,104427,104427,104461,104960,
刺激提示(練習),canvas.Screen,6_2_3,2023-01-06T03:32:07.699Z,,,d,true,d,135,1509,response,eR.jpg,d,keypress(j),106451.00000000001,106437,104928,104929,104960,106493,
フィードバック(0.5秒),canvas.Screen,6_2_4,2023-01-06T03:32:08.208Z,,,d,,,135,500,timeout,eR.jpg,,,106960.00000000001,106960,106460,106452,106493,106993,
トライアル,flow.Sequence,6_2,2023-01-06T03:32:08.208Z,,,d,,,135,4016,completion,eR.jpg,,,106961,106960,102910,102911,102944,106993,
空白時間1 (0.5秒),canvas.Screen,6_3_0,2023-01-06T03:32:08.708Z,,,d,,,315,500,timeout,eR.jpg,,,107460.00000000001,107460,106960,106961,106993,107493,
注視(1秒),canvas.Screen,6_3_1,2023-01-06T03:32:09.692Z,,,d,,,315,984,timeout,eR.jpg,,,108444,108444,107460,107461,107493,108477,
空白時間2 (0.5秒),canvas.Screen,6_3_2,2023-01-06T03:32:10.192Z,,,d,,,315,499,timeout,eR.jpg,,,108944,108943,108444,108444,108477,108976,
刺激提示(練習),canvas.Screen,6_3_3,2023-01-06T03:32:11.333Z,,,d,true,d,315,1131,response,eR.jpg,d,keypress(j),110085.00000000001,110074,108943,108944,108976,110127,
フィードバック(0.5秒),canvas.Screen,6_3_4,2023-01-06T03:32:11.841Z,,,d,,,315,500,timeout,eR.jpg,,,110594.00000000001,110593,110093,110086,110127,110627,
トライアル,flow.Sequence,6_3,2023-01-06T03:32:11.842Z,,,d,,,315,3600,completion,eR.jpg,,,110594.00000000001,110593,106960,106961,106993,110627,
練習試行(e),flow.Loop,6,2023-01-06T03:32:11.842Z,,,,,,,14516,completion,,,,110594.00000000001,110593,96044,96045,96077,110627,
イントロ6,html.Page,7,2023-01-06T03:32:29.568Z,,,,,,,17693,form submission,,,,128320,128320,110593,110594.00000000001,110627,128360,
できるだけ早く正確に,canvas.Screen,8,2023-01-06T03:32:30.559Z,,,,,,,984,timeout,,,,129311,129311,128327,128320,128360,129344,
空白時間1 (0.5秒),canvas.Screen,9_0_0,2023-01-06T03:32:31.058Z,,,b,,,90,500,timeout,e.jpg,,,129810,129810,129311,129312.00000000001,129344,129844,
注視(1秒),canvas.Screen,9_0_1,2023-01-06T03:32:32.075Z,,,b,,,90,1016,timeout,e.jpg,,,130827,130826,129810,129810,129844,130860,
空白時間2 (0.5秒),canvas.Screen,9_0_2,2023-01-06T03:32:32.575Z,,,b,,,90,500,timeout,e.jpg,,,131327,131326,130826,130827,130860,131360,
刺激提示,canvas.Screen,9_0_3,2023-01-06T03:32:33.519Z,,,b,true,b,90,933,response,e.jpg,b,keypress(f),132271.00000000003,132259,131326,131327,131360,132310,
フィードバック(0.5秒),canvas.Screen,9_0_4,2023-01-06T03:32:34.025Z,,,b,,,90,500,timeout,e.jpg,,,132777.00000000003,132776,132276,132272,132310,132810,
トライアル,flow.Sequence,9_0,2023-01-06T03:32:34.025Z,,,b,,,90,3432,completion,e.jpg,,,132777.00000000003,132776,129311,129311,129344,132810,
空白時間1 (0.5秒),canvas.Screen,9_1_0,2023-01-06T03:32:34.525Z,,,d,,,90,500,timeout,eR.jpg,,,133277.00000000003,133277,132776,132777.00000000003,132810,133310,
注視(1秒),canvas.Screen,9_1_1,2023-01-06T03:32:35.541Z,,,d,,,90,1017,timeout,eR.jpg,,,134293,134293,133277,133277.00000000003,133310,134327,
