sender,sender_type,sender_id,timestamp,meta,,answer,correct,correctResponse,deg,duration,ended_on,image,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url
イントロ1,html.Page,0,2023-01-15T14:19:19.990Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 Edg/109.0.1518.52"",""platform"":""Win32"",""language"":""ja"",""locale"":""ja-JP"",""timeZone"":""Asia/Tokyo"",""timezoneOffset"":-540,""screen_width"":1280,""screen_height"":720,""scroll_width"":666,""scroll_height"":604,""window_innerWidth"":666,""window_innerHeight"":652,""devicePixelRatio"":1.5}",,,,,,5133.360999976158,form submission,,,,6005.899999976158,6004.899999976158,738.249,866.1000000238419,871.539,6031.944,{}
イントロ2,html.Page,1,2023-01-15T14:19:22.612Z,,,,,,,2596.0559999999996,form submission,,,,8628.399999976158,8628,5988.421,6006.700000047684,6031.944,8638.478,
イントロ3,html.Page,2,2023-01-15T14:19:25.165Z,,,,,,,2541.8220000715264,form submission,,,,11180.700000047684,11180.300000071526,8622.003,8628.600000023842,8638.478,11188.539,
イントロ4,html.Page,3,2023-01-15T14:19:27.041Z,,,,,,,1868.261000071525,form submission,,,,13057.300000071526,13056.800000071526,11172.03,11181,11188.539,13072.013,
イントロ5,html.Page,4,2023-01-15T14:19:28.597Z,,,,,,,1540.687000047683,form submission,,,,14613.200000047684,14612.700000047684,13055.466,13057.800000071526,13072.013,14638.613,
できるだけ早く正確に,canvas.Screen,5,2023-01-15T14:19:29.607Z,,,,,,,999.9450000000015,timeout,,,,15623.300000071526,15621.945,14605.636,14613.399999976158,14638.613,15638.558,
空白時間1 (0.5秒),canvas.Screen,6_0_0,2023-01-15T14:19:30.108Z,,,d,,,135,500.27499999999964,timeout,eR.jpg,,,16123.600000023842,16122.278,15621.945,15623.800000071526,15638.558,16138.833,
注視(1秒),canvas.Screen,6_0_1,2023-01-15T14:19:31.107Z,,,d,,,135,999.9930000000004,timeout,eR.jpg,,,17123.200000047684,17122.112,16122.278,16124,16138.833,17138.826,
空白時間2 (0.5秒),canvas.Screen,6_0_2,2023-01-15T14:19:31.609Z,,,d,,,135,499.7729999999974,timeout,eR.jpg,,,17624.5,17622.084,17122.112,17123.5,17138.826,17638.599,
刺激提示(練習),canvas.Screen,6_0_3,2023-01-15T14:19:32.958Z,,,d,true,d,135,1333.2010000715272,response,eR.jpg,d,keypress(j),18973.5,18971.800000071526,17622.084,17625.300000071526,17638.599,18988.904,
フィードバック(0.5秒),canvas.Screen,6_0_4,2023-01-15T14:19:33.457Z,,,d,,,135,499.7000000000007,timeout,eR.jpg,,,19473.200000047684,19472.026,18972.054,18976.100000023842,18988.904,19488.604,
トライアル,flow.Sequence,6_0,2023-01-15T14:19:33.459Z,,,d,,,135,3833.4680000000008,completion,eR.jpg,,,19475.200000047684,19472.026,15621.945,15623.700000047684,15638.558,19488.604,
