,normal_0,normal_45,normal_90,normal_135,normal_180,normal_225,normal_270,normal_315,mirror_0,mirror_45,mirror_90,mirror_135,mirror_180,mirror_225,mirror_270,mirror_315
User01,1062.1278000000748,1279.8897000000493,998.2982000000382,1315.585600000096,1319.1990000000224,1290.0609000000666,1029.289444444528,1166.6383000000642,1313.5543000000748,1606.6863333334268,1434.8042222222784,1882.699444444478,1966.0260000000126,1682.9765714286186,1579.5035000000753,1239.9692222222511
User02,913.642500000821,932.3578888891401,976.5072222225507,1023.9063750004607,1064.126285713744,1097.4887142859266,940.3639999992608,897.1232000002201,1057.0226666671547,1012.5527777776847,1146.7259999994071,1084.5736666673329,1160.4505555557164,1179.2618749993471,1078.840700000373,1189.5333749993533
User03,480.2757999998874,459.5651000001177,519.7992222220159,651.9268000000972,878.9955555556015,732.7348749998364,571.5995555555596,493.2408999999614,476.80019999987127,514.6099000000904,557.7712000001011,695.71940000002,848.0311111111748,742.125700000058,595.9416666667845,551.6991000002229
User04,781.8472499998843,648.399249999884,820.1438888887528,867.5148749999516,950.0499999999405,912.7029999998898,903.7776249998169,744.6812857143211,1104.7797499998742,949.2632222221177,946.7183333333136,1031.04214285697,937.5534999999218,912.2111249999653,1104.7354285713518,808.5743749999128
User05,589.9158000016396,563.0528888895593,618.8024000028236,711.7395000007411,760.6380000009303,910.2153333353215,724.6714444459309,589.3230000004478,549.9149000010424,654.5257000006052,700.0460000013481,792.329700000894,901.5985000019815,808.788000001315,634.2434000017704,672.443600001483
User06,781.2098888868964,847.6822999970143,683.5919999916601,862.6418888829131,1071.736777769819,989.3221999976173,736.5057999934361,840.2935555489385,1003.1177999976208,824.9589999922434,900.8590999946289,1071.199624992547,1892.956499991069,990.1601249925443,870.8914444325169,908.8337777684986
User07,984.8148999916564,717.6303999916593,753.6392222169088,1152.5206666600457,1281.181888876964,930.8329999894008,769.6509999868846,718.9000999868833,706.9624444365004,838.7692999916438,2050.823999986898,1025.0946999797295,1094.5720000014917,956.7593333174469,902.8591999952216,808.4274999928487
User08,695.8670000062514,708.534700003572,787.9246000050668,929.6885000023874,1147.5271428631095,1084.6441250048447,775.48130000596,722.8359000074357,791.7885000068491,830.6436000056652,851.3037000050681,1097.2495000074457,1191.8338888948492,909.5507000044657,923.3105000044786,844.1068888941954
User09,684.1717000166857,568.5407778227964,635.0197000262284,1020.6762000429087,1298.9942500208454,1126.4427777910216,933.7722000453039,725.7284444523846,781.9886000262283,762.4529000119146,856.738222248714,1108.487000011919,1217.2010000185498,810.6330000185585,859.398300030992,734.2139999952327
User10,856.3291000000121,886.4910000000051,912.062500000003,1011.9841250000145,1243.9614285714363,1040.1756000000146,939.5315000000319,878.9638000000184,996.0361000000055,998.7002000000145,1052.125500000002,1166.7045000000041,1200.8650000000182,1180.8513000000082,1059.6989999999992,1031.0300000000177
